Brand,Model,Rating(out of 5),Top Speed (kmph),Range (km),Weight (kg),Charging Time (hrs),Price,Class,Load Capacity
Altigreen,NEEV Low Deck,-,-,-,-,-,408000,3W,-
Omega Seiki Mobility,Rage Plus A85,-,-,-,-,-,409000,3W,565
Omega Seiki Mobility,Rage Plus 125,-,-,-,-,-,409000,3W,565
Altigreen,NEEV High Deck,-,-,-,-,-,436000,3W,950
Omega Seiki Mobility,Rage Plus Garbage Tipper,-,-,-,-,-,495000,3W,500
Omega Seiki Mobility,Rage Plus Frost,-,-,-,-,-,811000,3W,565
MG,Comet,5,-,230,-,-,798000,4W,-
Tata,Tiago EV,5,-,315,-,-,869000,4W,-
Citroen,eC3,4.5,-,320,-,-,1150000,4W,-
Tata,Tigor EV,5,-,315,-,-,1249000,4W,-
Tata,Nexon EV Prime,5,-,312,-,-,1449000,4W,-
Mahindra,XUV400,5,-,375,-,-,1599000,4W,-
Tata,Nexon EV Max,5,-,453,-,-,1649000,4W,-
MG,ZS EV,4.5,-,461,-,-,2338000,4W,-
Hyundai,Kona EV,4,-,452,-,-,2384000,4W,-
BYD,e6,4,-,415,-,-,2915000,4W,-
BYD,Atto 3,4,-,521,-,-,3399000,4W,-
Hyundai,Ioniq 5,4,-,631,-,-,4595000,4W,-
Mini Cooper,SE,4.5,-,270,-,-,5090000,4W,-
Volvo,XC40 Recharge,4,-,418,-,-,5690000,4W,-
Kia,EV6,5,-,708,-,-,6095000,4W,-
BMW,i4,4.5,-,590,-,-,7390000,4W,-
Mercedes-Benz,EQB,5,-,423,-,-,7450000,4W,-
Mercedes-Benz,EQC,4.5,-,450,-,-,9950000,4W,-
Audi,e-tron,5,-,379,-,-,10216000,4W,-
Jaguar,i-Pace,5,-,470,-,-,11958000,4W,-
Audi,e-tron Sportback,4,-,484,-,-,12024000,4W,-
BMW,iX,4,-,425,-,-,12400000,4W,-
Porsche,Taycan,4,-,420,-,-,15302000,4W,-
Mercedes-Benz,EQS,4.7,-,857,-,-,15900000,4W,-
Audi,e-tron GT,5,-,481,-,-,17026000,4W,-
Porsche,Taycan Cross Turismo,4.7,-,452,-,-,17368000,4W,-
BMW,i7,4.8,-,625,-,-,19500000,4W,-
Mercedes-Benz,AMG EQS,4,-,526,-,-,24500000,4W,-
BYD,Seal,5,-,580,-,-,4100000,4W,-
Mercedes-Benz,AMG EQE,4,-,550,-,-,13000000,4W,-
Porsche,Macan EV,4,-,590,-,-,12200000,4W,-
BMW,i5,4.2,-,516,-,-,12000000,4W,-
