name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
"Ray fish, bow head, spotted",P064,19.03,0.0,0.0,349.0,80.3,187.0,98.7,222.0,90.15,21.44,0.0,13.91,0.0,0.0,0.0,0.0,0.0,0.0
Red snapper,P065,22.79,0.0,0.0,437.0,76.28,485.0,299.0,325.0,217.0,19.08,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
"Red snapper, small",P066,21.5,0.0,0.0,451.0,76.31,861.0,407.0,734.0,278.0,35.43,0.0,38.42,0.0,0.0,0.0,0.0,0.0,0.0
Sadaya,P067,20.68,0.0,0.0,462.0,75.53,1059.0,444.0,1128.0,377.0,35.21,0.0,61.97,0.0,0.0,0.0,0.0,0.0,0.0
Salmon,P068,20.97,0.0,0.0,721.0,67.84,4305.0,2453.0,2297.0,1682.0,119.0,0.0,61.27,0.0,0.0,0.0,0.0,0.0,0.0
Sangada,P069,20.26,0.0,0.0,443.0,78.51,1128.0,513.0,706.0,343.0,34.5,0.0,75.77,0.0,0.0,0.0,0.0,0.0,0.0
Sankata paarai,P070,21.87,0.0,0.0,434.0,74.88,3317.0,1876.0,1746.0,1295.0,80.54,0.0,64.34,0.0,0.0,0.0,0.0,0.0,0.0
Sardine,P071,17.91,0.0,0.0,637.0,72.29,1250.0,630.0,770.0,327.0,42.33,0.0,49.12,0.0,0.0,0.0,0.0,0.0,0.0
Shark,P072,21.6,0.0,0.0,398.0,72.82,275.0,126.0,230.0,83.76,6.05,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0
"Shark, hammer head",P073,23.4,0.0,0.0,432.0,74.61,264.0,103.0,232.0,88.26,11.86,0.0,55.81,0.0,0.0,0.0,0.0,0.0,0.0
"Shark, spotted",P074,20.95,0.0,0.0,384.0,78.83,253.0,137.0,169.0,97.68,8.77,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0
Shelavu,P075,22.46,0.0,0.0,446.0,74.6,677.0,369.0,431.0,219.0,11.86,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0
Silan,P076,22.72,0.0,0.0,633.0,70.12,3615.0,3199.0,1140.0,3015.0,860.0,0.0,58.93,0.0,0.0,0.0,0.0,0.0,0.0
Silk fish,P077,20.65,0.0,0.0,408.0,77.61,497.0,281.0,506.0,185.0,32.87,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0
Silver carp,P078,21.71,0.0,0.0,555.0,72.47,1826.0,1964.0,894.0,1283.0,194.0,0.0,68.54,0.0,0.0,0.0,0.0,0.0,0.0
Sole fish,P079,19.05,0.0,0.0,367.0,80.18,416.0,167.0,370.0,101.0,17.45,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Stingray,P080,23.98,0.0,0.0,408.0,75.67,289.0,173.0,174.0,159.0,38.98,0.0,62.47,0.0,0.0,0.0,0.0,0.0,0.0
Tarlava,P081,21.72,0.0,0.0,414.0,76.76,504.0,207.0,265.0,124.0,11.98,0.0,18.94,0.0,0.0,0.0,0.0,0.0,0.0
Tholam,P082,20.78,0.0,0.0,432.0,76.2,856.0,510.0,481.0,367.0,22.18,0.0,59.73,0.0,0.0,0.0,0.0,0.0,0.0
Tilapia,P083,18.48,0.0,0.0,349.0,79.57,413.0,254.0,199.0,134.0,49.44,0.0,26.36,0.0,0.0,0.0,0.0,0.0,0.0
Tuna,P084,24.5,0.0,0.0,470.0,72.12,660.0,300.0,575.0,207.0,23.05,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0
"Tuna, striped",P085,21.28,0.0,0.0,403.0,77.76,424.0,168.0,306.0,133.0,25.61,0.0,64.06,0.0,0.0,0.0,0.0,0.0,0.0
Valava,P086,21.8,0.0,0.0,410.0,77.25,403.0,107.0,336.0,73.6,16.91,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0
Vanjaram,P087,22.28,0.0,0.0,570.0,72.3,2229.0,1078.0,1384.0,603.0,59.97,0.0,67.71,0.0,0.0,0.0,0.0,0.0,0.0
Vela meen,P088,22.16,0.0,0.0,537.0,71.82,1857.0,851.0,1199.0,685.0,16.4,0.0,35.85,0.0,0.0,0.0,0.0,0.0,0.0
Vora,P089,20.14,0.0,0.0,422.0,76.94,1207.0,467.0,647.0,278.0,23.58,0.0,19.34,0.0,0.0,0.0,0.0,0.0,0.0
Whale shark,P090,21.83,0.0,0.0,401.0,77.59,266.0,135.0,220.0,84.28,7.65,0.0,25.33,0.0,0.0,0.0,0.0,0.0,0.0
Xiphinis,P091,19.82,0.0,0.0,370.0,79.22,363.0,184.0,134.0,130.0,3.95,0.0,27.59,0.0,0.0,0.0,0.0,0.0,0.0
"Eggs, Cat fish",P092,24.68,0.0,0.0,600.0,69.34,1818.0,1125.0,1436.0,905.0,290.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0
Crab,Q001,10.23,0.0,0.0,343.0,79.77,214.0,140.0,256.0,111.0,16.26,0.0,53.87,0.0,0.0,0.0,0.0,0.0,0.0
"Crab, sea",Q002,15.36,0.0,0.0,283.0,79.67,129.0,64.32,146.0,41.99,5.83,0.0,23.18,0.0,0.0,0.0,0.0,0.0,0.0
"Lobster, brown",Q003,15.96,0.0,0.0,292.0,81.48,106.0,72.73,118.0,49.96,19.92,0.0,32.64,0.0,0.0,0.0,0.0,0.0,0.0
"Lobster, king siz e",Q004,18.54,0.0,0.0,375.0,77.77,174.0,129.0,206.0,101.0,15.75,0.0,41.13,0.0,0.0,0.0,0.0,0.0,0.0
Mud crab,Q005,10.0,0.0,0.0,190.0,83.1,95.11,66.63,129.0,48.75,11.56,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Oyster,Q006,9.51,0.0,0.0,252.0,82.5,1087.0,298.0,651.0,90.0,55.37,0.0,32.45,0.0,0.0,0.0,0.0,0.0,0.0
"Tiger prawns, brown",Q007,14.85,0.0,0.0,273.0,82.41,121.0,76.53,101.0,48.27,12.55,0.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0
"Tiger Prawns, orange",Q008,14.25,0.0,0.0,270.0,81.48,177.0,88.3,204.0,58.66,20.99,0.0,19.47,0.0,0.0,0.0,0.0,0.0,0.0
"Clam, green shell",R001,12.14,0.0,0.0,243.0,80.07,285.0,92.24,263.0,18.53,19.74,0.0,43.74,0.0,0.0,0.0,0.0,0.0,0.0
"Clam, white shell, ribbed",R002,11.82,0.0,0.0,250.0,80.27,441.0,127.0,418.0,60.3,16.94,0.0,23.98,0.0,0.0,0.0,0.0,0.0,0.0
Octopus,R003,14.71,0.0,0.0,334.0,80.45,325.0,69.95,383.0,46.38,9.32,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
"Squid, black",R004,16.1,0.0,0.0,335.0,80.59,287.0,56.42,388.0,36.2,8.46,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
"Squid, hard shell",R005,16.82,0.0,0.0,320.0,80.52,227.0,61.67,303.0,37.9,3.25,0.0,60.32,0.0,0.0,0.0,0.0,0.0,0.0
"Squid, red",R006,16.25,0.0,0.0,329.0,80.85,448.0,83.36,545.0,61.11,17.81,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
"Squid, white, small",R007,17.41,0.0,0.0,353.0,79.38,304.0,62.57,441.0,37.64,8.22,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat fish,S001,15.86,0.0,0.0,518.0,77.23,2182.0,2055.0,978.0,1428.0,458.0,0.0,84.01,0.0,0.0,0.0,0.0,0.0,0.0
Catla,S002,17.94,0.0,0.0,394.0,78.43,1670.0,1237.0,815.0,910.0,214.0,0.0,64.42,0.0,0.0,0.0,0.0,0.0,0.0
Freshwater Eel,S003,20.41,0.0,0.0,451.0,75.57,981.0,733.0,600.0,493.0,190.0,0.0,58.64,0.0,0.0,0.0,0.0,0.0,0.0
Gold fish,S004,16.91,0.0,0.0,396.0,79.07,1077.0,625.0,0.85,715.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pangas,S005,17.12,0.0,0.0,852.0,68.5,863.0,714.0,510.0,510.0,221.0,0.0,66.89,0.0,0.0,0.0,0.0,0.0,0.0
Rohu,S006,19.71,0.0,0.0,428.0,76.34,2047.0,2618.0,747.0,2401.0,531.0,0.0,47.72,0.0,0.0,0.0,0.0,0.0,0.0
Crab,S007,13.23,0.0,0.0,327.0,80.58,214.0,140.0,256.0,111.0,16.26,0.0,52.91,0.0,0.0,0.0,0.0,0.0,0.0
"Prawns, big",S008,19.24,0.0,0.0,380.0,77.43,86.86,56.77,94.61,39.93,17.75,0.0,87.28,0.0,0.0,0.0,0.0,0.0,0.0
"Prawns, small",S009,13.07,0.0,0.0,297.0,82.58,197.0,152.0,166.0,130.0,41.37,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiger prawns,S010,14.24,0.0,0.0,284.0,83.24,134.0,120.0,136.0,95.76,29.27,0.0,78.87,0.0,0.0,0.0,0.0,0.0,0.0
Coconut oil,T001,0.0,0.0,0.0,0.0,0.0,90.86,7.24,1.9,7.24,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn oil,T002,0.0,0.0,0.0,0.0,0.0,16.6,33.67,49.74,31.97,48.97,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotton seed oil,T003,0.0,0.0,0.0,0.0,0.0,28.17,19.66,52.16,17.82,51.81,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gingelly oil,T004,0.0,0.0,0.0,0.0,0.0,16.25,41.41,42.34,40.87,41.96,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groundnut oil,T005,0.0,0.0,0.0,0.0,0.0,18.94,53.89,27.17,53.89,27.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustard oil,T006,0.0,0.0,0.0,0.0,0.0,5.72,67.09,27.19,10.18,15.55,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palm oil,T007,0.0,0.0,0.0,0.0,0.0,44.98,43.53,11.49,43.26,11.18,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice bran oil,T008,0.0,0.0,0.0,0.0,0.0,23.76,44.12,32.12,43.84,31.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safflower oil,T009,0.0,0.0,0.0,0.0,0.0,9.19,14.04,76.78,13.8,76.58,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safflower oil (blended),T010,0.0,0.0,0.0,0.0,0.0,19.53,37.61,42.86,37.37,42.09,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyabean oil,T011,0.0,0.0,0.0,0.0,0.0,15.96,24.06,59.98,24.06,54.78,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunflower oil,T012,0.0,0.0,0.0,0.0,0.0,11.39,25.96,62.65,25.96,62.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghee,T013,0.0,0.0,0.0,0.0,0.0,71.02,26.44,2.54,23.19,2.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanaspati,T014,0.0,0.0,0.0,0.0,0.0,61.44,33.87,4.69,29.19,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salt,T015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drinking Water,T016,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amchur Powder,T017,1.0,7.0,50.0,296.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
