name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
"Radish, elongate, red skin",F009,0.67,2.46,6.71,134.0,89.32,42.65,7.29,56.73,6.17,23.71,33.02,0.0,1.15,0.48,0.27,0.4,0.41,0.0
"Radish, elongate, white skin",F010,0.77,2.65,6.56,135.0,89.05,43.88,9.14,53.64,7.94,21.64,32.0,0.0,0.95,0.31,0.03,0.62,0.59,0.0
"Radish, round, red skin",F011,0.89,2.29,6.07,130.0,89.68,46.08,6.08,75.85,4.82,21.18,54.67,0.0,0.86,0.38,0.18,0.3,0.64,0.0
"Radish, round, white skin",F012,0.8,2.37,6.13,129.0,89.76,41.15,12.64,62.2,11.47,15.71,46.49,0.0,1.16,0.36,0.3,0.5,0.3,0.0
"Sweet potato, brown skin",F013,1.33,3.99,24.25,456.0,69.21,66.1,4.1,116.0,4.1,96.29,19.52,0.0,3.63,0.46,0.71,2.47,18.82,0.0
"Sweet potato, pink skin",F014,1.27,3.94,23.93,452.0,69.58,101.0,9.35,180.0,9.35,154.0,25.92,0.0,4.03,0.9,0.97,2.16,19.88,0.0
Tapioca,F015,1.03,4.61,17.81,334.0,75.23,59.5,9.2,91.29,9.2,78.47,12.83,0.0,2.14,0.13,0.29,1.72,15.36,0.0
Water Chestnut,F016,0.86,3.02,21.46,400.0,73.34,87.42,105.0,104.0,100.0,97.81,6.16,0.0,1.95,0.12,0.32,1.51,15.93,0.0
"Yam, elephant",F017,2.56,4.17,17.46,353.0,74.39,35.72,6.75,73.52,6.75,57.08,16.44,0.0,1.58,0.7,0.16,0.72,14.36,0.0
"Yam, ordinary",F018,2.18,4.08,17.65,349.0,74.28,42.63,13.04,72.34,13.04,56.32,16.02,0.0,1.15,0.42,0.11,0.62,14.94,0.0
"Yam, wild",F019,3.07,4.57,20.95,430.0,69.35,79.51,22.66,142.0,22.66,111.0,30.93,0.0,1.54,0.62,0.12,0.8,15.35,0.0
"Chillies, green-1",G001,2.62,4.86,6.32,191.0,84.47,126.0,38.19,428.0,34.47,384.0,43.99,0.0,0.71,0.54,0.16,0.02,2.31,0.0
"Chillies, green-2",G002,2.28,5.13,5.27,167.0,85.72,131.0,33.39,433.0,28.54,391.0,41.73,0.0,1.05,0.93,0.11,0.02,1.96,0.0
"Chillies, green-3",G003,2.38,5.1,5.23,169.0,85.59,133.0,31.74,418.0,27.86,372.0,45.49,0.0,0.54,0.45,0.08,0.02,1.85,0.0
"Chillies, green-4",G004,2.33,4.15,6.63,190.0,85.29,148.0,29.25,412.0,24.06,364.0,47.37,0.0,0.62,0.47,0.14,0.01,1.65,0.0
"Chillies, green-5",G005,2.01,3.95,6.64,180.0,85.93,109.0,26.97,384.0,23.1,342.0,42.6,0.0,0.46,0.42,0.02,0.02,1.84,0.0
"Chillies, green-6",G006,3.01,5.15,5.31,175.0,84.93,121.0,27.57,363.0,22.9,329.0,34.57,0.0,0.59,0.43,0.15,0.01,1.7,0.0
"Chillies, green-7",G007,2.12,4.95,5.61,163.0,85.83,102.0,29.66,332.0,25.77,303.0,28.91,0.0,0.73,0.66,0.05,0.02,2.48,0.0
"Chillies, green - all varieties",G008,2.36,4.77,5.86,177.0,85.39,129.0,32.2,413.0,27.88,370.0,43.14,0.0,0.67,0.55,0.11,0.02,1.96,0.0
Coriander leaves,G009,3.52,4.66,1.93,130.0,86.99,228.0,9.06,320.0,8.31,151.0,169.0,0.0,0.17,0.07,0.06,0.05,1.06,0.0
Curry leaves,G010,7.41,16.83,4.51,266.0,65.33,267.0,44.57,569.0,44.57,152.0,417.0,0.0,0.6,0.41,0.2,0.0,3.08,0.0
"Garlic, big clove",G011,6.92,5.22,21.93,518.0,64.38,33.52,14.24,66.9,14.24,60.62,6.28,0.0,5.97,4.2,1.2,0.57,14.84,0.0
"Garlic, small clove",G012,6.75,5.47,21.84,514.0,64.42,32.63,13.55,61.82,13.55,56.95,4.86,0.0,4.84,1.48,1.08,2.28,14.86,0.0
"Garlic, single clove, Kashmir",G013,6.12,4.01,23.46,523.0,64.49,34.76,10.83,82.4,10.83,73.1,9.31,0.0,3.73,1.21,1.05,1.47,17.53,0.0
"Ginger, fresh",G014,2.22,5.36,8.97,230.0,81.27,231.0,67.97,381.0,67.97,302.0,78.99,0.0,1.31,1.0,0.15,0.17,3.8,0.0
Mango ginger,G015,1.45,4.74,6.98,177.0,84.55,177.0,52.26,334.0,52.26,256.0,78.26,0.0,2.42,1.11,0.81,0.5,1.79,0.0
Mint leaves,G016,4.66,5.89,2.39,155.0,84.24,125.0,13.23,352.0,13.23,65.09,286.0,0.0,0.08,0.01,0.07,0.0,1.02,0.0
"Onion, big",G017,1.5,2.45,9.56,201.0,85.76,60.81,39.36,107.0,39.36,100.0,6.63,0.0,5.88,1.89,1.47,2.52,0.8,0.0
"Onion, small",G018,1.82,1.16,11.58,237.0,84.67,41.01,15.83,71.16,15.83,66.6,4.55,0.0,5.62,1.44,1.63,2.55,0.75,0.0
Asafoetida,G019,6.34,5.13,71.95,1387.0,9.42,242.0,250.0,514.0,236.0,470.0,43.79,0.0,0.93,0.21,0.47,0.25,36.83,0.0
"Cardamom, green",G020,8.1,23.1,47.76,1067.0,11.24,624.0,891.0,583.0,858.0,411.0,172.0,0.0,4.28,1.84,1.89,0.55,29.47,0.0
"Cardamom, black",G021,6.69,23.46,52.53,1132.0,6.69,493.0,1083.0,517.0,1043.0,320.0,197.0,0.0,2.3,1.37,0.76,0.17,29.04,0.0
"Chillies, red",G022,12.69,31.15,29.46,990.0,14.57,1141.0,718.0,3263.0,646.0,3081.0,182.0,0.0,4.7,2.68,1.82,0.2,4.75,0.0
Cloves,G023,5.86,34.52,18.73,781.0,26.49,2679.0,605.0,3428.0,605.0,2737.0,691.0,0.0,2.1,1.68,0.43,0.0,8.57,0.0
Coriander seeds,G024,10.66,44.81,12.98,1125.0,8.72,952.0,10769.0,2247.0,10702.0,2203.0,44.01,0.0,2.38,1.61,0.77,0.0,6.07,0.0
Cumin seeds,G025,13.91,30.35,22.62,1274.0,10.59,619.0,8379.0,4313.0,8344.0,4269.0,44.0,0.0,1.38,0.63,0.75,0.0,14.46,0.0
Fenugreek seeds,G026,25.41,47.55,10.57,983.0,7.82,770.0,675.0,3133.0,663.0,2051.0,1082.0,0.0,0.55,0.31,0.12,0.11,3.66,0.0
Mace,G027,6.24,20.31,26.51,1488.0,20.06,9304.0,9302.0,4731.0,8898.0,4571.0,159.0,0.0,0.85,0.2,0.28,0.38,22.85,0.0
Nutmeg,G028,6.3,11.99,27.64,1940.0,15.55,3359.0,1637.0,379.0,1562.0,299.0,79.3,0.0,1.08,0.29,0.59,0.2,24.49,0.0
Omum,G029,15.89,20.58,24.53,1495.0,9.71,1112.0,13879.0,5193.0,13810.0,5116.0,76.71,0.0,2.76,2.07,0.47,0.22,15.75,0.0
Pippali,G030,10.53,34.14,35.7,906.0,10.95,602.0,327.0,885.0,289.0,587.0,299.0,0.0,2.75,1.24,0.51,1.0,31.72,0.0
"Pepper, black",G031,10.12,33.16,36.22,910.0,13.18,654.0,463.0,1076.0,463.0,818.0,258.0,0.0,0.32,0.09,0.23,0.0,35.35,0.0
Poppy seeds,G032,20.31,26.68,12.37,1768.0,4.22,2074.0,2353.0,13847.0,2311.0,13742.0,106.0,0.0,1.85,0.78,0.77,0.3,10.43,0.0
Turmeric powder,G033,7.66,21.38,49.22,1174.0,10.58,1634.0,448.0,1940.0,448.0,1563.0,377.0,0.0,1.23,0.0,0.49,0.75,44.44,0.0
Almond,H001,18.41,13.06,3.04,2549.0,4.37,4358.0,38336.0,13215.0,38012.0,13183.0,32.04,0.0,2.23,1.2,0.76,0.27,0.01,0.0
"Arecanut, dried, brown",H002,5.78,11.44,70.42,1467.0,6.63,2605.0,466.0,403.0,461.0,396.0,7.42,0.0,1.76,0.5,0.71,0.55,66.56,0.0
"Arecanut, dried, red color",H003,6.46,11.11,70.27,1477.0,6.3,1674.0,987.0,918.0,980.0,901.0,16.78,0.0,1.79,0.6,0.83,0.36,67.33,0.0
"Arecanut, fresh",H004,2.73,7.63,45.0,1024.0,37.7,3389.0,599.0,522.0,582.0,506.0,15.67,0.0,4.72,3.24,1.06,0.43,35.38,0.0
Cashew nut,H005,18.78,3.86,25.46,2438.0,4.44,7816.0,27907.0,7482.0,27678.0,7427.0,55.04,0.0,3.11,1.97,1.05,0.1,20.11,0.0
"Coconut, kernal, dry",H006,7.27,15.88,8.01,2611.0,3.97,43138.0,3710.0,929.0,3710.0,929.0,0.0,0.0,6.93,1.37,1.0,4.57,0.0,0.0
"Coconut, kernel, fresh",H007,3.84,10.42,6.3,1711.0,36.14,28048.0,2449.0,639.0,2434.0,639.0,0.0,0.0,6.2,1.0,0.89,4.31,0.0,0.0
"Garden cress, seeds",H008,23.36,8.27,33.66,1863.0,4.6,4101.0,8131.0,10464.0,5166.0,2839.0,7484.0,0.0,0.91,0.09,0.21,0.61,30.12,0.0
"Gingelly seeds, black",H009,19.17,17.16,10.29,2124.0,4.51,6317.0,15605.0,19259.0,15475.0,19123.0,136.0,0.0,0.99,0.31,0.47,0.21,8.54,0.0
"Gingelly seeds, brown",H010,21.61,17.21,9.76,2161.0,3.62,6250.0,15989.0,19078.0,15866.0,18966.0,112.0,0.0,1.39,0.5,0.21,0.68,7.92,0.0
"Gingelly seeds, white",H011,21.7,16.99,10.83,2174.0,3.3,6430.0,16124.0,18597.0,16001.0,18477.0,120.0,0.0,0.67,0.09,0.33,0.26,7.94,0.0
Ground nut,H012,23.65,10.38,17.27,2176.0,6.97,8144.0,18337.0,11584.0,17719.0,11584.0,0.0,0.0,4.42,0.6,0.25,3.57,10.19,0.0
Mustard seeds,H013,19.51,14.1,16.8,2132.0,5.67,2112.0,21032.0,8910.0,4012.0,4932.0,3341.0,0.0,5.07,1.13,1.4,2.55,9.05,0.0
Linseeds,H014,18.55,26.17,10.99,1857.0,5.48,2968.0,5112.0,16147.0,5049.0,3191.0,12956.0,0.0,0.6,0.2,0.4,0.0,7.55,0.0
"Niger seeds, black",H015,18.92,10.93,22.98,2144.0,4.65,5945.0,9033.0,21935.0,8813.0,21871.0,64.5,0.0,1.75,1.34,0.31,0.1,15.01,0.0
"Niger seeds, gray",H016,18.34,10.96,20.59,2128.0,5.66,9737.0,4452.0,23564.0,4013.0,23300.0,265.0,0.0,0.41,0.11,0.2,0.1,16.34,0.0
Pine seed,H017,12.55,3.79,26.77,2486.0,5.32,3801.0,18624.0,24202.0,18261.0,23874.0,188.0,0.0,4.67,1.55,1.0,2.12,17.93,0.0
Pistachio nuts,H018,23.35,10.64,15.82,2257.0,4.68,4043.0,18922.0,11946.0,18478.0,11776.0,171.0,0.0,7.9,4.11,2.65,1.15,6.65,0.0
Safflower seeds,H019,17.66,13.49,30.18,1981.0,5.24,2548.0,3589.0,18781.0,3487.0,18760.0,21.9,0.0,2.67,0.8,0.52,1.35,25.48,0.0
Sunflower seeds,H020,23.53,10.8,6.85,2453.0,3.53,6159.0,17803.0,25580.0,17649.0,25545.0,35.6,0.0,2.81,0.74,0.6,1.48,3.97,0.0
Walnut,H021,14.92,5.39,10.14,2809.0,3.56,5208.0,11316.0,44915.0,11168.0,36205.0,8710.0,0.0,3.22,1.1,0.36,1.76,6.63,0.0
"Jaggery, cane",I001,1.85,0.0,84.87,1480.0,11.2,69.23,21.67,33.1,21.67,33.1,0.0,0.0,84.32,22.31,3.79,58.23,0.0,0.0
"Sugarcane, juice",I002,0.16,0.56,13.11,242.0,85.54,140.0,29.7,173.0,29.7,145.0,28.34,0.0,12.85,0.55,2.27,10.03,0.0,0.0
"Button mushroom, fresh",J001,3.68,3.11,1.98,115.0,90.09,62.89,6.82,263.0,5.25,263.0,0.0,0.0,0.1,0.1,0.0,0.0,0.7,0.0
"Chicken mushroom, fresh",J002,1.84,1.99,2.76,89.0,92.43,59.6,3.02,137.0,2.4,111.0,26.43,0.0,0.1,0.1,0.0,0.0,1.86,0.0
"Shiitake mushroom, fresh",J003,3.19,3.02,8.98,243.0,82.94,116.0,12.33,480.0,9.73,417.0,0.0,0.0,0.2,0.2,0.0,0.0,4.31,0.0
"Oyster mushroom, dried",J004,19.04,39.12,33.07,1019.0,4.51,422.0,73.96,1792.0,38.44,1491.0,0.0,0.0,0.68,0.68,0.0,0.0,21.32,0.0
Toddy,K001,0.18,0.0,5.72,101.0,93.86,30.65,34.68,65.18,30.49,44.9,20.28,0.0,5.73,5.73,0.0,0.0,0.0,0.0
Coconut Water,K002,0.26,0.0,3.16,64.0,95.77,93.49,24.11,3.73,10.78,3.73,0.0,0.0,3.06,3.06,0.0,0.0,0.0,0.0
"Milk, whole, Buffalo",L001,3.68,0.0,8.39,449.0,80.68,4630.0,1919.0,200.0,1671.0,132.0,34.76,0.0,5.34,0.24,0.39,0.59,0.0,4.12
"Milk, whole, Cow",L002,3.26,0.0,4.94,305.0,86.64,2707.0,1214.0,138.0,1176.0,106.0,20.52,0.0,4.89,0.2,0.18,0.24,0.0,4.28
Panner,L003,18.86,0.0,12.41,1079.0,51.96,8851.0,4300.0,439.0,3914.0,206.0,233.0,0.0,11.57,0.5,1.11,0.84,0.0,9.12
